iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,2000,[8],"[8, 8]",5.867817679563296,7.095813837634286,1,0.08197729289531708
2,4000,"[8, 8]","[8, 8]",6.268659713394625,6.70671459629411,0,0.07992841303348541
3,6000,"[8, 8]","[8, 8]",6.514197269514794,5.888169553511893,0,0.07876160740852356
4,8000,"[8, 8]","[16, 16, 8]",4.509292805027682,4.298766269843837,2,0.08122242987155914
5,10000,"[16, 16, 8]","[16, 16, 16, 8]",3.5696601013373805,3.8034085428781372,1,0.061298780143260956
6,12000,"[16, 16, 16, 8]","[16, 16, 16, 16, 8]",3.6002622907968367,3.5997592703715826,1,0.05845070630311966
7,14000,"[16, 16, 16, 16, 8]","[32, 32, 16, 16, 16]",2.49532462478206,2.5156066212527266,3,0.05639585480093956
8,16000,"[32, 32, 16, 16, 16]","[32, 32, 32, 16, 16]",2.1984349508628394,2.4168330387414927,1,0.038950081914663315
9,18000,"[32, 32, 32, 16, 16]","[32, 32, 32, 16, 16]",2.418369307581353,2.3620855917001324,0,0.0358649417757988
10,20000,"[32, 32, 32, 16, 16]","[32, 32, 32, 16, 16]",2.638080846959046,2.0963547698876006,0,0.0325578935444355
11,22000,"[32, 32, 32, 16, 16]","[32, 32, 32, 16, 16]",2.5924323648978316,2.178249903730993,0,0.034000396728515625
12,24000,"[32, 32, 32, 16, 16]","[32, 32, 32, 32, 16]",1.9680580592251982,1.7725298335307071,1,0.03277091681957245
13,26000,"[32, 32, 32, 32, 16]","[32, 32, 32, 32, 16]",2.0592804239436022,1.8567386847093925,0,0.029652582481503487
14,28000,"[32, 32, 32, 32, 16]","[32, 32, 32, 32, 16, 16]",1.8091215289710993,1.7980878577585555,1,0.031139642000198364
15,30000,"[32, 32, 32, 32, 16, 16]","[32, 32, 32, 32, 32, 16]",2.8914310521400615,1.7302899118900528,1,0.028014104813337326
16,32000,"[32, 32, 32, 32, 32, 16]","[64, 32, 32, 32, 32, 32]",1.1574694631241318,1.3344852036057708,2,0.028200676664710045
